id,date,word_hanji,word_tailo,word_description,sentence_hanji,sentence_zh,season,month_theme,theme,source
62,2026-08-01,電風,Tiān-hong,電風扇。,電風開佇最大格，衫仔角猶原貼佇身。,電風扇開到最強，衣角還是貼著身體。,summer,late_summer,object,
63,2026-08-02,稻稿,Tiū-kó,稻草、收割後的稻稈。,割了的稻稿綑做一束，囤佇田岸邊。,割完的稻草綑成一束，堆在田埂邊。,summer,late_summer,nature,
64,2026-08-03,黃昏,Hông-hun,傍晚、黃昏時刻。,黃昏的光斜斜照落來，厝頂攏紅去矣。,黃昏的光斜斜照下來，屋頂都紅了。,summer,late_summer,nature,
65,2026-08-04,普渡,Phóo-tōo,農曆七月祭祀無祀孤魂的儀式。,普渡的桌仔擺甲長長，香煙直直燻上去。,普渡的供桌擺得長長的，香煙直直往上飄。,summer,late_summer,ritual,
66,2026-08-05,菜市仔,Tshài-tshī-á,菜市場，販售蔬果魚肉的傳統市場。,透早去菜市仔，攤仔聲鬧熱，汗猶未出就買好矣。,清早去菜市場，攤位聲音熱鬧，還沒流汗就買好了。,summer,late_summer,place,
67,2026-08-06,金紙,Kim-tsuá,燒給祖先或好兄弟的冥紙。,金紙一疊一疊燒落去，火光映佇阿媽的面。,金紙一疊一疊燒下去，火光映在阿媽的臉上。,summer,late_summer,ritual,
68,2026-08-07,礤冰,Tshuah-ping,刨成細冰淋糖水的台灣消暑甜點。,下晡熱甲坐袂牢，一碗礤冰捀咧，涼到心肝底。,午後熱得坐不住，捧著一碗剉冰，涼到心底。,summer,late_summer,weather,
69,2026-08-08,廟口,Biō-kháu,廟前廣場，人來人往的熱鬧地方。,廟口的攤仔，賣符仔嘛賣臭豆腐，攏是人。,廟口的攤子，賣符咒也賣臭豆腐，都是人。,summer,late_summer,place,
70,2026-08-09,割稻仔,Kuah-tiū-á,收割稻子。,天光光就落田割稻，日頭未出，鐮刀先聲。,天一亮就下田割稻，太陽未出，鐮刀聲先響。,summer,late_summer,daily_life,
71,2026-08-10,鑼鼓,Lô-kóo,鑼與鼓，廟會進行時的樂器聲響。,遠遠聽著鑼鼓聲，知影廟會又到矣。,遠遠聽到鑼鼓聲，知道廟會又到了。,summer,late_summer,place,
72,2026-08-11,菅芒,Kuann-bâng,芒草，台灣山野常見的草本植物。,菅芒隨風搖，風吹過，整片田野攏動去。,芒草隨風搖擺，風吹過，整片田野都動了。,summer,late_summer,nature,
73,2026-08-12,紅霞,Âng-hiâ,晚霞，傍晚天空的紅色雲彩。,紅霞燒佇西爿天，今仔日的熱嘛到尾矣。,晚霞燒在西邊的天空，今天的熱也到頭了。,summer,late_summer,nature,
74,2026-08-13,收成,Siu-sîng,農作物的收穫。,今年收成好，阿爸無講話，嘴角仔就笑去矣。,今年收成好，父親沒說話，嘴角就笑了。,summer,late_summer,daily_life,
75,2026-08-14,蠓仔香,Báng-á-hiunn,防蚊用的盤狀香，點燃後煙霧驅蚊。,點一盤蠓仔香，煙仔轉轉仔飄，暗暝就開始矣。,點一盤蚊香，煙霧慢慢飄，夜晚就開始了。,summer,late_summer,object,
76,2026-08-15,厝邊,Tshù-pinn,鄰居、左鄰右舍。,普渡前厝邊互相問，今年欲拜啥？,普渡前鄰居互相問，今年要拜什麼？,summer,late_summer,people,
77,2026-08-16,牲醴,Sing-lé,祭祀時擺放的豬雞魚等供品。,牲醴擺好勢，香插起來，誠心就好。,供品擺好了，香插上，誠心就好。,summer,late_summer,ritual,
78,2026-08-17,秋凊,Tshiu-tshìn,秋天的清涼。,暗暝有一絲仔秋凊，風味無仝七月矣。,夜晚有一絲涼意，風的味道和七月不同了。,summer,late_summer,feeling,
79,2026-08-18,西瓜,Si-kue,西瓜。,西瓜挖一塊，坐佇埕仔食，汁流落手攏無閒管。,挖一塊西瓜，坐在院子裡吃，汁流到手上也顧不了。,summer,late_summer,food,
80,2026-08-19,魚仔市,Hî-á-tshī,賣魚的市仔。,魚仔市的聲音足大，一早就叫甲全條街攏知。,賣魚小販聲音很大，一大早就叫得全街都知道。,summer,late_summer,people,
81,2026-08-20,膨風,Phòng-hong,吹牛、誇大說大話。,伊愛膨風，聽著就好，毋免攏信。,他愛吹牛，聽聽就好，不必都信。,summer,late_summer,people,
82,2026-08-21,草蓆,Tsháu-tshioh,用草編成的蓆子，夏天鋪在地上乘涼。,草蓆鋪佇埕仔，囡仔躺落去，看天頂的星。,草蓆鋪在院子裡，孩子躺下去，看天上的星星。,summer,late_summer,object,
83,2026-08-22,香爐,Hiunn-lôo,廟裡或家中祭拜用的插香器皿。,廟裡的香爐滿滿是香灰，歲月就是按呢過去。,廟裡的香爐裝滿香灰，歲月就這樣過去了。,summer,late_summer,place,
84,2026-08-23,擔仔,Tànn-á,用扁擔挑起的籃子，也指小型攤位。,一個擔仔，兩籃仔，阿伯就佇菜市仔打拚矣。,一根扁擔，兩個籃子，阿伯就在菜市場打拚了。,summer,late_summer,daily_life,
85,2026-08-24,日鬚,Ji̍t-tshiu,日光透過雲縫射落來的光線。,樹跤的日鬚一直爍爍爍，風來就散，風去就閣現。,樹下的日花一直閃爍，風來就散，風去就又出現。,summer,late_summer,nature,
86,2026-08-25,田野,Tshân-iá,田地與原野，農村開闊的景色。,傍晚的田野，風來的時，稻仔全齊搖。,傍晚的田野，風來的時候，稻子全都搖動。,summer,late_summer,nature,
87,2026-08-26,蓬萊米,Phong-lâi-bí,台灣主要稻米品種，口感Q彈。,新蓬萊米炊起來，香到隔壁攏知。,新蓬萊米蒸起來，香到隔壁都知道。,summer,late_summer,food,
88,2026-08-27,行跤花,Kiânn-kha-hue,閒逛、散步、隨意走走。,暗頓食飽，換拖鞋出來行跤花，風有夠涼。,晚飯吃完，換上拖鞋出來散步，風很涼。,summer,late_summer,daily_life,
89,2026-08-28,作穡人,Tsoh-sit-lâng,做田、耕作的人。,作穡人，手腳攏是土，心肝攏是田。,做農的人，手腳都是泥土，心裡都是田地。,summer,late_summer,daily_life,
90,2026-08-29,豐收,Hong-siu,農作物收穫豐盛。,豐收的年，阿公笑甲目睭瞇瞇。,豐收的年份，阿公笑得眼睛瞇成一線。,summer,late_summer,feeling,
91,2026-08-30,涼風,Liâng-hong,涼爽的風。,八月尾的涼風，輕輕仔吹過，夏天就快過矣。,八月底的涼風，輕輕吹過，夏天快過了。,summer,late_summer,nature,
92,2026-08-31,秋天,Tshiu-thinn,秋天。,秋天猶未到，已經聞著秋的氣味矣。,秋天還沒到，已經聞到秋天的氣味了。,summer,late_summer,feeling,
